ROUTE_NAME,ROUTE_NAME_VALUE_DATE,ROUTE_NAME_VALUE_TEXT,SHOULDER_TYPE,SHOULDER_TYPE_VALUE_DATE,SHOULDER_TYPE_VALUE_TEXT,PCT_GREEN_TIME,PCT_GREEN_TIME_VALUE_DATE,PCT_GREEN_TIME_VALUE_TEXT,F_SYSTEM,F_SYSTEM_VALUE_DATE,F_SYSTEM_VALUE_TEXT,ROUTE_NUMBER,ROUTE_NUMBER_VALUE_DATE,ROUTE_NUMBER_VALUE_TEXT,COUNTY_ID,COUNTY_ID_VALUE_DATE,COUNTY_ID_VALUE_TEXT,ROUTE_QUALIFIER,ROUTE_QUALIFIER_VALUE_DATE,ROUTE_QUALIFIER_VALUE_TEXT,ROUTE_SIGNING,ROUTE_SIGNING_VALUE_DATE,ROUTE_SIGNING_VALUE_TEXT,ACCESS_CONTROL,ACCESS_CONTROL_VALUE_DATE,ACCESS_CONTROL_VALUE_TEXT,GRADES_A,GRADES_B,GRADES_C,GRADES_D,GRADES_E,GRADES_F,CURVES_A,CURVES_B,CURVES_C,CURVES_D,CURVES_E,CURVES_F,PEAK_PARKING,PEAK_PARKING_VALUE_DATE,PEAK_PARKING_VALUE_TEXT,MEDIAN_WIDTH,MEDIAN_WIDTH_VALUE_DATE,MEDIAN_WIDTH_VALUE_TEXT,SHOULDER_WIDTH_R,SHOULDER_WIDTH_R_VALUE_DATE,SHOULDER_WIDTH_R_VALUE_TEXT,MEDIAN_TYPE,MEDIAN_TYPE_VALUE_DATE,MEDIAN_TYPE_VALUE_TEXT,SHOULDER_WIDTH_L,SHOULDER_WIDTH_L_VALUE_DATE,SHOULDER_WIDTH_L_VALUE_TEXT,WIDENING_POTENTIAL,WIDENING_POTENTIAL_VALUE_DATE,WIDENING_POTENTIAL_VALUE_TEXT,PCT_PASS_SIGHT,PCT_PASS_SIGHT_VALUE_DATE,PCT_PASS_SIGHT_VALUE_TEXT,TERRAIN_TYPE,TERRAIN_TYPE_VALUE_DATE,TERRAIN_TYPE_VALUE_TEXT,NUMBER_SIGNALS,NUMBER_SIGNALS_VALUE_DATE,NUMBER_SIGNALS_VALUE_TEXT,STOP_SIGNS,STOP_SIGNS_VALUE_DATE,STOP_SIGNS_VALUE_TEXT,AT_GRADE_OTHER,AT_GRADE_OTHER_VALUE_DATE,AT_GRADE_OTHER_VALUE_TEXT,SIGNAL_TYPE,SIGNAL_TYPE_VALUE_DATE,SIGNAL_TYPE_VALUE_TEXT,TURN_LANES_L,TURN_LANES_L_VALUE_DATE,TURN_LANES_L_VALUE_TEXT,TURN_LANES_R,TURN_LANES_R_VALUE_DATE,TURN_LANES_R_VALUE_TEXT,PEAK_LANES,PEAK_LANES_VALUE_DATE,PEAK_LANES_VALUE_TEXT,COUNTER_PEAK_LANES,COUNTER_PEAK_LANES_VALUE_DATE,COUNTER_PEAK_LANES_VALUE_TEXT,DIR_THROUGH_LANES,DIR_THROUGH_LANES_VALUE_DATE,DIR_THROUGH_LANES_VALUE_TEXT,THROUGH_LANES,THROUGH_LANES_VALUE_DATE,THROUGH_LANES_VALUE_TEXT,FACILITY_TYPE,FACILITY_TYPE_VALUE_DATE,FACILITY_TYPE_VALUE_TEXT,MAINTENANCE_OPERATIONS,MAINTENANCE_OPERATIONS_VALUE_DATE,MAINTENANCE_OPERATIONS_VALUE_TEXT,OWNERSHIP,OWNERSHIP_VALUE_DATE,OWNERSHIP_VALUE_TEXT,TOLL_ID,TOLL_ID_VALUE_DATE,TOLL_ID_VALUE_TEXT,SPEED_LIMIT,SPEED_LIMIT_VALUE_DATE,SPEED_LIMIT_VALUE_TEXT,STRAHNET,STRAHNET_TYPE_VALUE_DATE,STRAHNET_TYPE_VALUE_TEXT,NN,TRUCK_VALUE_DATE,TRUCK_VALUE_TEXT,AADT_SINGLE_UNIT,AADT_SINGLE_UNIT_VALUE_DATE,AADT_SINGLE_UNIT_VALUE_TEXT,AADT,AADT_VALUE_DATE,AADT_VALUE_TEXT,PCT_DH_COMBINATION,PCT_DH_COMBINATION_VALUE_DATE,PCT_DH_COMBINATION_VALUE_TEXT,PCT_DH_SINGLE_UNIT,PCT_DH_SINGLE_UNIT_VALUE_DATE,PCT_DH_SINGLE_UNIT_VALUE_TEXT,DIR_FACTOR,DIR_FACTOR_VALUE_DATE,DIR_FACTOR_VALUE_TEXT,FUTURE_AADT,FUTURE_AADT_VALUE_DATE,FUTURE_AADT_VALUE_TEXT,AADT_COMBINATION,AADT_COMBINATION_VALUE_DATE,AADT_COMBINATION_VALUE_TEXT,K_FACTOR,K_FACTOR_VALUE_DATE,K_FACTOR_VALUE_TEXT,NHS,NHS_VALUE_DATE,NHS_VALUE_TEXT,URBAN_ID,URBAN_CODE_VALUE_DATE,URBAN_CODE_VALUE_TEXT,STRUCTURE_TYPE,STRUCTURE_TYPE_VALUE_DATE,STRUCTURE_TYPE_VALUE_TEXT,LANE_WIDTH,LANE_WIDTH_VALUE_DATE,LANE_WIDTH_VALUE_TEXT,SURFACE_TYPE,SURFACE_TYPE_VALUE_DATE,SURFACE_TYPE_VALUE_TEXT,IRI,IRI_VALUE_DATE,IRI_VALUE_TEXT,CRACKING_PERCENT,CRACKING_PERCENT_VALUE_DATE,CRACKING_PERCENT_VALUE_TEXT,FAULTING,FAULTING_VALUE_DATE,FAULTING_VALUE_TEXT,RUTTING,RUTTING_VALUE_DATE,RUTTING_VALUE_TEXT,BASE_THICKNESS,BASE_THICKNESS_VALUE_DATE,BASE_THICKNESS_VALUE_TEXT,YEAR_LAST_CONSTRUCTION,YEAR_LAST_CONSTRUCTION_VALUE_DATE,YEAR_LAST_CONSTRUCTION_VALUE_TEXT,THICKNESS_RIGID,THICKNESS_RIGID_VALUE_DATE,THICKNESS_RIGID_VALUE_TEXT,BASE_TYPE,BASE_TYPE_VALUE_DATE,BASE_TYPE_VALUE_TEXT,LAST_OVERLAY_THICKNESS,LAST_OVERLAY_THICKNESS_VALUE_DATE,LAST_OVERLAY_THICKNESS_VALUE_TEXT,YEAR_LAST_IMPROVEMENT,YEAR_LAST_IMPROVEMENT_VALUE_DATE,YEAR_LAST_IMPROVEMENT_VALUE_TEXT,THICKNESS_FLEXIBLE,THICKNESS_FLEXIBLE_VALUE_DATE,THICKNESS_FLEXIBLE_VALUE_TEXT,HPMS_SAMPLE_NO,RouteID,BMP,EMP,sji01,sji02,sji03,sji04,sji05,sji06,sji07,sji08,sji09,sji10,sji11,sji12,sji13
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,11.0,05/31/2022,,6.0,05/31/2022,,141.2,05/31/2022,,0.0,05/31/2022,,,,,0.06,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,41.5,41.6,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,11.0,05/31/2022,,6.0,05/31/2022,,95.8,05/31/2022,,0.0,05/31/2022,,,,,0.06,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,41.6,41.7,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,11.0,05/31/2022,,6.0,05/31/2022,,101.0,05/31/2022,,0.36,05/31/2022,,,,,0.06,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,41.7,41.8,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,154.3,05/31/2022,,0.347,05/31/2022,,,,,0.06,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,41.8,41.897,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,1.0,,41A225,12.0,05/31/2022,,6.0,05/31/2022,,154.3,05/31/2022,,0.347,05/31/2022,,,,,0.06,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,41.897,41.9,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,1.0,,41A225,11.0,05/31/2022,,3.0,05/31/2022,,141.2,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,41.9,41.965,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,11.0,05/31/2022,,3.0,05/31/2022,,141.2,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,41.965,42.0,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,149.5,05/31/2022,,0.0,05/31/2022,,,,,0.06,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.0,42.1,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,11.0,05/31/2022,,6.0,05/31/2022,,184.2,05/31/2022,,3.545,05/31/2022,,,,,0.08,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.1,42.177,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,1.0,,41A227,11.0,05/31/2022,,6.0,05/31/2022,,184.2,05/31/2022,,3.545,05/31/2022,,,,,0.08,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.177,42.2,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,1.0,,41A227,12.0,05/31/2022,,6.0,05/31/2022,,142.4,05/31/2022,,0.672,05/31/2022,,,,,0.1,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.2,42.211,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,142.4,05/31/2022,,0.672,05/31/2022,,,,,0.1,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.211,42.3,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,131.5,05/31/2022,,0.0,05/31/2022,,,,,0.07,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.3,42.4,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,130.2,05/31/2022,,0.0,05/31/2022,,,,,0.07,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.4,42.5,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,68.5,05/31/2022,,0.0,05/31/2022,,,,,0.08,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.5,42.6,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,76.2,05/31/2022,,0.0,05/31/2022,,,,,0.08,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.6,42.7,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,11.0,05/31/2022,,6.0,05/31/2022,,111.2,05/31/2022,,0.0,05/31/2022,,,,,0.07,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.7,42.8,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,100.2,05/31/2022,,0.0,05/31/2022,,,,,0.08,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.8,42.9,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,68.4,05/31/2022,,0.0,05/31/2022,,,,,0.08,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,42.9,43.0,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,70.5,05/31/2022,,0.0,05/31/2022,,,,,0.07,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.0,43.1,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,94.9,05/31/2022,,0.343,05/31/2022,,,,,0.08,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.1,43.2,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,88.9,05/31/2022,,0.346,05/31/2022,,,,,0.06,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.2,43.3,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,146.2,05/31/2022,,0.692,05/31/2022,,,,,0.05,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.3,43.4,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,161.4,05/31/2022,,0.0,05/31/2022,,,,,0.05,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.4,43.466,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,1.0,,41A229,12.0,05/31/2022,,6.0,05/31/2022,,161.4,05/31/2022,,0.0,05/31/2022,,,,,0.05,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.466,43.5,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,1.0,,41A229,11.0,05/31/2022,,3.0,05/31/2022,,123.5,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.5,43.57,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,11.0,05/31/2022,,3.0,05/31/2022,,123.5,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.57,43.6,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,112.6,05/31/2022,,0.0,05/31/2022,,,,,0.04,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.6,43.7,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,11.0,05/31/2022,,6.0,05/31/2022,,114.6,05/31/2022,,0.0,05/31/2022,,,,,0.05,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.7,43.8,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,11.0,05/31/2022,,6.0,05/31/2022,,107.5,05/31/2022,,0.371,05/31/2022,,,,,0.06,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.8,43.9,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,11.0,05/31/2022,,6.0,05/31/2022,,112.9,05/31/2022,,0.355,05/31/2022,,,,,0.05,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,43.9,44.0,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,11.0,05/31/2022,,6.0,05/31/2022,,107.3,05/31/2022,,0.0,05/31/2022,,,,,0.06,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,44.0,44.1,True,True,True,True,True,True,False,True,True,True,True,True,False
,,,,,,,,,1.0,,,77.0,,77S,81.0,,,10.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,6.0,,,31.0,,,31.0,,,288.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6139.0,,,,,,12.0,05/31/2022,,6.0,05/31/2022,,114.9,05/31/2022,,0.0,05/31/2022,,,,,0.07,05/31/2022,,,,,,,,,,,,,,,,,,,,,,,,41100770016SB,44.1,44.2,True,True,True,True,True,True,False,True,True,True,True,True,False
